Title;Artist;Transposition;Capo;Chords
Rolling In The Deep;Adele;-3;0;F#m C#m E C#m [E] / D E C#m 2xD E C#m C#7 / F#m E D E / D E F#m E 2xD
Roses;Shawn Mendes;0;0;3x(Am [G] F G) Am [G] F Em / Dm Em F Em Dm Em F G / 3x(C F Dm G) Em F G Am [G] F G Am [G] F Em / Dm F Em Dm F G
Save Tonight;Eagle-Eye Cherry;6;0;D#m B F# C#
Sex Money Feelings Die;Lykke Li;0;0;Emaj7 F# Ebm7 G#m / E F# Ebm G#m E F# Ebm / Emaj7 F# Ebm7 G#m / Emaj7 Ebm E Ebm
She Used To Be Mine;Sara Bareilles;-5;0;C G Am F / C E7 Am F
She Will Be Loved;Maroon 5;-3;0;Am G / C G Am G 2x(C G Am F) / 4x(Am G) F
Simple Man;Lynyrd Skynyrd;0;0;B F# G#m
Sittin' on the Dock of the Bay;Otis Redding;0;0;G B C A / 2x(G E) G A G E / 3x(G D C) F D
Sleep;Allen Stone;0;0;4xAm7 Dm E7#9 Am G F Dm7 E7#9 F
Slow Dancing In A Burning Room;John Mayer;2;2;C#m7 Add9 E / Badd11 C#m7 Aadd9 Badd11 C#m7 F# C#m7 Aadd9 E
So Sick (Acoustic);Ne-Yo;0;0;D#m B F# C# / C# B
Someone You Loved;Lewis Capaldi;-4;0;A E F#m D / Bm F#m E F#m Bm F#m E
Stitches;Shawn Mendes;0;1;Am G C F / F G Am G F G Am / Am G C F
Sunday Morning;Maroon 5;-5;0;Am D7 G
Superstition;Stevie Wonder;1;0;Em7 A7 / B7 C7 B7 Bb7 A7 Bb7
Sweater Weather;The Neighbourhood;0;0;D# Cm Gm A#
Sweet Creature;Harry Styles;0;0;G [C Bm] 2xG Em D C G / 2x(Am Em G D) G / 2x([C Bm] G) [C Bm Am G] D7 G
Tainted Love;Soft Cell;2;0;7x(Am C F C) 2xAm 2xC / A C F Dm D 2x(Am C F C)
Thank U, Next;Ariana Grande;-6;0;Cmaj7 B7 Em7 G7
Thank You;Dido;-4;0;3x(Em C D [G D]) 2x(Em C) / 3x(G C) Bm Am / 3x(G C) Bm Am
The A Team;Ed Sheeran;0;0;2xA [E] 2xF#m [D] A / Bm D A E / F#m D 2xA / Bm D F#m A
The Loneliest Girl;Carole & Tuesday;-5;0;Bm G D F#m / G D Bm A G D Em A / 2x(G D Bm A) G A D
The Parting Glass;Cara Dillon;0;0;3x(F#m D A E) F#m D Bm F#m A D A E Bm A F#m E F#m D A E F#m D Bm F#m
The Way You Make Me Feel;Michael Jackson;-6;0;8x(A# G#) 3x(D# C#) D# F 4x(A# G#) / 8x(A# G#)
This Is Me;Demi Lovato, Joe Jonas;-6;0;4x(Em C G D) C D / C G D Em C G D C G Em D Am C D 2x(Em C G D) / 2x(C G D Em C G Em D)
This Is The Last Time;Keane;0;0;G Bm C G / Em7 Bm Am D / 2x(G Bm Am D) Em7 Bm Am D Em7 Bm Am
Time After Time;Cyndi Lauper;-5;0;8x(Am G) C 3x(D Bm C) D / D Em7 Cadd9 D G / C 3x(D Bm C)
Torn;Natalie Imbruglia;-5;0;C Em F / Am G Em G / C G Am F / Am G F Am C G
Tuyo;Rodrigo Amarante;3;0;2x(Em Am B7 Em) E7 Am D7 G C Am B7 2xEm 2xAm 2xB7 2xC 2xB7 Em B7 2xEm
Un Mundo Ideal;Ricardo Montaner;7;0;3xA F#m E D E7 F#m D A / 2x(E A) 3x(D A) E7 / 3xC Am G Fm G7 Am F C / G C G F C 4x(F C) / 2x(G# C#) 3x(F# C#) A
Universe And U (Acoustic);KT Tunstall;-7;0;G Gmaj7 G7 C Cm G A7 C / Em D C G Em D B C Cm / Cm G A7 C
Valerie;Mark Ronson feat. Amy Whinehouse;-2;0;C#maj7 D#m7 / 3x(F#maj7 Fm7) G# 2x(C#maj7 D#m7)
Versace On The Floor;Bruno Mars;-5;0;2x(A C#m7 Dmaj7 F#m7 E) Em7 F# Dmaj7 Dm Bm7 F#m7 E / Dmaj7 E F#m Em7 A Dmaj7 C#m7 Bm7 C#m7 Dmaj7 E / 2x(A C#m7 Dmaj7 E)
Walking Away;Craig David;0;0;Am Dm F G
Warriors;Imagine Dragons;5;0;Am G F E7 / Am C F E7
We Belong Together;Mariah Carey;-5;0;Cmaj7 D Bm7 Cmaj7
Whats Love Got To Do With It;Tina Turner;-4;0;2x(Em7 D) 3x(C D) / 4x(G D C D) / 2x(G A) F G Em7 A / 4x(A E D E)
When The Sun Goes Down;Arctic Monkeys;0;0;B D#7 2x(Emaj7 D#m) C#m [F# E D#m C#m D#m] / 3x(G#m D#m) C#m D#m E F# 2x(4xBm [G F#]) / G F# 2xBm / 4x(Em F#m 2xBm) A F#
Why Georgia;John Mayer;0;0;4x(G D) C / Em7 D G Cadd9 Em7 D G A7 / D A G D A Em7 D A G F Cadd9 / 2x(F Bb C Bb) 2x(G Cadd9 Dadd4 Cadd9) Em7 Dsus2 Gm F
You Give Me Something;James Morrisson;0;0;C G 2x(F G7 Am C) F D G / 2x(Em Am Dm7 G7 Em) Am Dm7 G7 Ab C
You Know My Name;Chris Cornell;0;0;Bm Gm D 2xBm Gm D F#7 / G F#7 Bm E G F#7 Bm E G F#7 / 3x(Bm G E) G E / 2xE Bm G E
You Were Meant For Me;Jewel;-4;0;G D G Bm G D G A / 2x(G A D A Bm) G A Bm / G A D A Bm G A Bm
Youth;Daughter;-5;0;G/B C Em Gmaj7/D
